,year,bottom_90_avg ,90-95_avg ,95-99_avg,90-99_avg,top_5p_avg,99-99-9_avg,upper_0-1_avg,99-100_avg
1,2021.0,36571.0,129724.0,215032.0,167639.0,335891.0,542283.0,3312693.0,819324.0
2,2020.0,36660.0,132401.0,215771.0,169455.0,322349.0,521225.0,2795589.0,748662.0
3,2019.0,36655.0,129259.0,209137.0,164760.0,308487.0,499389.0,2564364.0,705887.0
4,2018.0,35941.0,127211.0,204983.0,161776.0,304057.0,495401.0,2544919.0,700352.0
5,2017.0,35480.0,125950.0,202686.0,160055.0,302129.0,492701.0,2564735.0,699904.0
6,2016.0,35107.0,125174.0,201158.0,158945.0,295725.0,486532.0,2361109.0,673990.0
7,2015.0,34923.0,124807.0,200736.0,158553.0,299742.0,491998.0,2529641.0,695763.0
8,2014.0,33818.0,121078.0,194247.0,153598.0,290798.0,479988.0,2450125.0,677002.0
9,2013.0,33336.0,119395.0,190403.0,150954.0,281140.0,467204.0,2236044.0,644088.0
10,2012.0,33274.0,118981.0,189500.0,150323.0,286709.0,475123.0,2479370.0,675548.0
11,2011.0,33166.0,118583.0,187374.0,149157.0,276787.0,463464.0,2173208.0,634438.0
12,2010.0,33421.0,118364.0,186355.0,148583.0,274417.0,455179.0,2170052.0,626666.0
13,2009.0,33558.0,117696.0,183337.0,146869.0,263543.0,433678.0,1940566.0,584367.0
14,2008.0,33608.0,116960.0,183964.0,146740.0,276001.0,453719.0,2358017.0,644149.0
15,2007.0,33814.0,117084.0,185981.0,147705.0,288048.0,474979.0,2688346.0,696316.0
16,2006.0,33563.0,115731.0,182195.0,145270.0,278036.0,461526.0,2460252.0,661398.0
17,2005.0,33175.0,113632.0,177187.0,141878.0,268875.0,446486.0,2337930.0,635630.0
18,2004.0,33300.0,113382.0,175035.0,140783.0,262427.0,433858.0,2215230.0,611995.0
19,2003.0,33065.0,111934.0,172319.0,138772.0,251240.0,415456.0,1930099.0,566921.0
20,2002.0,32925.0,111070.0,170210.0,137354.0,248590.0,410434.0,1927175.0,562108.0
21,2001.0,32869.0,110352.0,171649.0,137595.0,258006.0,425587.0,2204067.0,603435.0
22,2000.0,32770.0,110104.0,172730.0,137938.0,270682.0,444845.0,2621271.0,662488.0
23,1999.0,32512.0,108183.0,167952.0,134747.0,257480.0,423611.0,2343415.0,615591.0
24,1998.0,31791.0,105631.0,162451.0,130884.0,243576.0,403679.0,2047654.0,568076.0
25,1997.0,30543.0,101091.0,154518.0,124837.0,228362.0,379526.0,1821614.0,523734.0
26,1996.0,29820.0,98821.0,148845.0,121054.0,215294.0,359591.0,1574590.0,481091.0
27,1995.0,29703.0,98242.0,146725.0,119790.0,209676.0,350247.0,1462590.0,461481.0
28,1994.0,29380.0,96805.0,143237.0,117442.0,200762.0,333835.0,1304065.0,430858.0
29,1993.0,28823.0,94352.0,139469.0,114404.0,198810.0,329853.0,1393082.0,436176.0
30,1992.0,29028.0,94367.0,137466.0,113522.0,199962.0,328904.0,1539302.0,449944.0
31,1991.0,28734.0,92078.0,134527.0,110944.0,187828.0,308640.0,1232544.0,401031.0
32,1990.0,29073.0,85079.0,130427.0,105234.0,194237.0,343348.0,1404604.0,449473.0
33,1989.0,29289.0,86520.0,132409.0,106915.0,194873.0,341410.0,1374624.0,444731.0
34,1988.0,29101.0,85292.0,130754.0,105497.0,195527.0,344206.0,1448348.0,454620.0
35,1987.0,29199.0,85208.0,128409.0,104408.0,185545.0,322957.0,1234315.0,414093.0
36,1986.0,29201.0,85510.0,126500.0,103727.0,173373.0,292006.0,980617.0,360867.0
37,1985.0,28654.0,83289.0,122259.0,100609.0,165050.0,275932.0,878737.0,336213.0
38,1984.0,28495.0,82580.0,120272.0,99332.0,162130.0,269375.0,871258.0,329563.0
39,1983.0,27801.0,80949.0,116825.0,96894.0,155276.0,257566.0,772698.0,309079.0
40,1982.0,27554.0,79037.0,114204.0,94667.0,150822.0,249759.0,725106.0,297293.0
41,1981.0,27790.0,78069.0,111139.0,92767.0,144572.0,236937.0,650572.0,278300.0
42,1980.0,27758.0,77865.0,109949.0,92125.0,143474.0,236320.0,648878.0,277576.0
43,1979.0,28415.0,79140.0,110833.0,93226.0,142159.0,232046.0,586222.0,267464.0
44,1978.0,28087.0,78677.0,112915.0,93894.0,144240.0,234735.0,582789.0,269540.0
45,1977.0,27678.0,77197.0,107218.0,90539.0,140813.0,230319.0,679045.0,275192.0
46,1976.0,27735.0,76203.0,105936.0,89418.0,136738.0,221566.0,605349.0,259944.0
47,1975.0,26943.0,73544.0,103205.0,86727.0,135294.0,223563.0,624434.0,263650.0
48,1974.0,27590.0,74670.0,103023.0,87271.0,133842.0,219156.0,598766.0,257117.0
49,1973.0,28336.0,77192.0,106410.0,90178.0,134185.0,212419.0,541067.0,245284.0
50,1972.0,28225.0,76782.0,105844.0,89698.0,132035.0,207302.0,502309.0,236803.0
51,1971.0,27323.0,73014.0,99878.0,84953.0,123297.0,191336.0,447727.0,216975.0
52,1970.0,27177.0,71253.0,101057.0,84499.0,125379.0,194120.0,479590.0,222667.0
53,1969.0,27222.0,71171.0,99229.0,83642.0,123181.0,190095.0,479039.0,218989.0
54,1968.0,26730.0,69021.0,95490.0,80785.0,119949.0,189863.0,469073.0,217784.0
55,1967.0,26131.0,67380.0,93221.0,78865.0,116444.0,181716.0,457925.0,209337.0
56,1966.0,25608.0,65209.0,89502.0,76006.0,113157.0,177584.0,479477.0,207773.0
57,1965.0,25094.0,62839.0,87104.0,73624.0,107636.0,162456.0,435520.0,189762.0
58,1964.0,24841.0,62909.0,86345.0,73325.0,106698.0,164467.0,400889.0,188109.0
59,1963.0,24116.0,60903.0,83592.0,70987.0,102101.0,155905.0,358250.0,176140.0
60,1962.0,23717.0,59979.0,82324.0,69910.0,101141.0,156807.0,352816.0,176408.0
61,1961.0,22851.0,57302.0,79429.0,67136.0,98718.0,154444.0,368776.0,175878.0
62,1960.0,22824.0,56509.0,77701.0,65928.0,97761.0,153831.0,395566.0,178005.0
63,1959.0,22534.0,55640.0,75809.0,64604.0,95144.0,151464.0,361658.0,172483.0
64,1958.0,21519.0,53353.0,74028.0,62542.0,92835.0,145239.0,373472.0,168062.0
65,1957.0,21692.0,53635.0,73077.0,62276.0,92252.0,146006.0,375443.0,168949.0
66,1956.0,21733.0,51840.0,70812.0,60272.0,91387.0,145483.0,427543.0,173689.0
67,1955.0,20811.0,48994.0,66984.0,56990.0,86761.0,138930.0,408285.0,165866.0
68,1954.0,19899.0,46484.0,64833.0,54639.0,84161.0,138638.0,366982.0,161472.0
69,1953.0,19848.0,46535.0,63017.0,53860.0,81922.0,131958.0,387794.0,157541.0
70,1952.0,18623.0,44022.0,60186.0,51206.0,79790.0,129926.0,412707.0,158204.0
71,1951.0,17886.0,42957.0,58678.0,49944.0,77942.0,125474.0,420708.0,154998.0
