Public,Public_CPI
9374.52,9374.52
9349.14,9462.49
9211.80,9494.28
9036.06,9541.14
8804.40,9494.08
8778.40,9585.86
8543.35,9341.02
8311.86,9232.23
8070.19,9096.54
7713.41,8876.08
7131.85,8462.74
6716.60,8103.76
6311.84,7587.11
5943.14,7419.61
5666.22,7273.90
5350.93,7090.74
5026.55,6886.56
4586.54,6451.07
4046.17,5820.73
3735.21,5458.34
3500.52,5260.94
3348.81,5202.11
3228.72,5126.34
3109.51,5013.96
2987.22,4927.29
2847.58,4835.65
2680.72,4681.31
2536.58,4543.02
2349.11,4333.21
2116.89,4022.40
1888.13,3738.70
1779.61,3714.22
1646.19,3601.30
1537.37,3502.39