Private,Inflation
7116.11,7998.51
7721.6,8679.08
8396.33,9437.47
9082.54,15721.88
9759.44,16893.59
10293.53,17818.1
10952.22,18958.29
11480.93,19873.49
12243.16,21192.91
12881.25,22297.44
13344.25,23098.9
13972.87,24187.04
14616.05,25300.38
15470.47,26284.33
16210.89,27542.3
16825.89,28587.19
17763.2,30179.68
18603.89,31608.01
19291.66,32776.53
20516.6,34857.7
21426.67,36403.91
22039.92,37445.82
22269.29,37835.52
22677.29,33176.88
23463.67,34327.35
24522.64,35876.62
25706.76,37608.99
26738.52,39118.45
27941.6,40878.56
29475.54,43122.72
30722.61,44947.18
31883.34,46645.33
32763.97,47933.69
32825.3,48023.41